temp, humidity, soilMoisture
26.1, 56.4, 89.8
26.1, 56.4, 89.8
26.0, 56.7, 89.8
26.0, 57.1, 89.8
26.0, 57.3, 89.8
26.0, 57.2, 89.8
26.0, 57.2, 89.8
25.9, 57.2, 89.8
25.9, 57.4, 89.8
25.9, 58.2, 89.8
25.9, 58.5, 89.8
25.9, 58.6, 89.9
26.0, 58.6, 89.9
26.0, 58.5, 89.9
26.0, 58.6, 89.9
26.0, 58.9, 89.9
26.1, 58.3, 89.9
26.1, 58.1, 89.9
26.0, 58.2, 89.9
26.0, 58.4, 89.8
26.0, 58.3, 89.8
26.0, 58.4, 89.8
26.0, 58.2, 89.8
25.9, 58.0, 89.8
25.9, 58.1, 89.8
25.9, 58.6, 89.8
25.9, 58.7, 89.8
25.8, 59.1, 89.8
25.8, 59.4, 89.8
25.8, 59.9, 89.8
25.8, 60.4, 89.8
25.9, 60.2, 89.8
25.9, 59.8, 89.8
25.9, 59.4, 89.8
25.9, 59.2, 89.8
25.9, 59.2, 89.8
25.9, 59.3, 89.8
25.9, 58.6, 89.7
25.9, 58.8, 89.7
25.9, 59.1, 89.7
26.0, 58.7, 89.7
26.0, 58.7, 89.7
26.0, 58.5, 89.7
26.1, 57.8, 89.7
26.1, 57.7, 89.7
26.1, 57.7, 89.7
26.1, 57.0, 89.7
26.1, 57.2, 89.7
26.1, 57.6, 89.6
26.1, 57.9, 89.6
26.1, 57.6, 89.6
26.1, 57.0, 89.6
26.1, 57.0, 89.6
26.1, 57.5, 89.6
26.1, 57.5, 89.6
26.1, 57.7, 89.7
26.1, 58.2, 89.7
26.1, 57.8, 89.7
26.1, 57.4, 89.7
26.1, 57.3, 89.7
26.0, 57.3, 89.8
26.0, 57.5, 89.7
26.0, 58.0, 89.7
26.0, 58.4, 89.7
26.0, 58.0, 89.7
25.9, 57.6, 89.7
26.0, 58.8, 89.7
26.0, 59.2, 89.7
26.0, 58.8, 89.7
26.1, 58.5, 89.7
26.1, 58.3, 89.7
26.1, 58.1, 89.7
26.1, 58.2, 89.6
26.1, 58.5, 89.6
26.1, 58.7, 89.6
26.1, 58.4, 89.6
26.1, 58.3, 89.6
26.1, 58.3, 89.6
26.1, 58.4, 89.6
26.1, 58.6, 89.6
26.1, 58.5, 89.6
26.1, 58.4, 89.6
26.1, 58.6, 89.6
26.1, 58.7, 89.6
26.1, 58.3, 89.6
26.1, 58.2, 89.6
26.0, 58.4, 89.6
26.0, 58.4, 89.6
26.0, 58.6, 89.6
26.1, 58.6, 89.5
26.1, 58.5, 89.5
26.2, 58.3, 89.5
26.2, 58.1, 89.5
26.3, 57.7, 89.5
26.3, 57.4, 89.5
26.4, 57.1, 89.6
26.4, 57.2, 89.6
26.4, 57.4, 89.6
26.5, 57.8, 89.5
26.5, 58.3, 89.5
26.5, 58.0, 89.5
26.6, 57.2, 89.5
26.6, 57.1, 89.5
26.6, 57.7, 89.5
26.7, 57.4, 89.5
26.7, 57.0, 89.5
26.8, 56.3, 89.5
26.8, 55.7, 89.5
26.8, 55.3, 89.5
26.8, 55.3, 89.5
26.8, 55.5, 89.6
26.8, 55.7, 89.6
26.8, 55.6, 89.6
26.9, 55.5, 89.6
26.9, 55.1, 89.6
26.9, 55.6, 89.6
26.9, 55.8, 89.6
27.0, 55.5, 89.6
27.0, 55.4, 89.6
27.0, 55.1, 89.6
27.1, 54.6, 89.6
27.1, 54.5, 89.5
27.1, 54.9, 89.5
27.0, 54.8, 89.5
27.0, 54.7, 89.5
27.0, 55.0, 89.5
27.1, 55.4, 89.5
27.0, 54.6, 89.5
27.0, 53.8, 89.5
26.8, 53.7, 89.5
26.9, 53.7, 89.5
26.9, 53.7, 89.5
26.9, 53.8, 89.7
26.8, 54.0, 89.6
26.7, 54.5, 89.6
26.7, 55.1, 89.6
26.7, 55.3, 89.6
26.8, 55.8, 89.6
26.8, 55.8, 89.6
26.8, 55.2, 89.6
26.8, 55.2, 89.6
26.9, 54.8, 89.6
26.8, 55.1, 89.5
26.9, 55.3, 89.5
26.8, 54.8, 89.5
26.8, 54.9, 89.5
26.8, 54.9, 89.5
26.8, 55.4, 89.5
26.8, 55.5, 89.5
26.8, 55.6, 89.5
26.9, 55.5, 89.5
26.9, 55.2, 89.5
27.0, 55.1, 89.5
27.0, 55.2, 89.5
27.1, 54.8, 89.4
27.1, 55.1, 89.4
27.2, 55.1, 89.4
27.2, 55.9, 89.4
27.3, 55.9, 89.4
27.3, 54.8, 89.4
27.4, 55.2, 89.4
27.4, 55.6, 89.4
27.4, 54.7, 89.5
27.5, 54.6, 89.5
27.5, 54.8, 89.5
27.5, 54.6, 89.5
27.5, 54.7, 89.4
27.5, 54.7, 89.5
27.6, 54.5, 89.5
27.6, 54.3, 89.4
27.6, 53.9, 89.4
27.6, 53.7, 89.4
27.5, 53.2, 89.4
27.5, 52.8, 89.4
27.5, 52.8, 89.4
27.5, 53.0, 89.4
27.4, 53.0, 89.4
27.4, 52.7, 89.4
27.4, 52.5, 89.4
27.3, 52.5, 89.4
27.3, 52.6, 89.4
27.2, 52.6, 89.3
27.2, 52.7, 89.3
27.2, 52.7, 89.3
27.1, 52.9, 89.3
27.1, 52.9, 89.4
27.1, 53.0, 89.3
27.0, 53.0, 89.3
27.0, 53.3, 89.3
27.0, 53.1, 89.3
27.0, 53.0, 89.3
27.0, 52.8, 89.3
27.0, 52.7, 89.3
27.0, 52.8, 89.3
26.9, 52.8, 89.4
26.9, 52.9, 89.4
26.9, 53.0, 89.4
26.9, 53.1, 89.4
26.9, 53.2, 89.4
26.9, 53.2, 89.4
26.8, 53.2, 89.4
26.8, 53.3, 89.3
26.8, 53.2, 89.3
26.8, 53.2, 89.3
26.8, 53.2, 89.3
26.8, 53.2, 89.3
26.8, 53.2, 89.3
26.8, 53.1, 89.3
26.8, 53.1, 89.3
26.8, 53.0, 89.3
26.8, 53.0, 89.3
26.8, 53.0, 89.2
26.8, 53.0, 89.2
26.8, 53.0, 89.2
26.8, 53.0, 89.2
26.8, 53.0, 89.2
26.8, 53.0, 89.2
26.9, 52.9, 89.2
26.9, 52.9, 89.2
26.9, 52.9, 89.2
26.9, 52.8, 89.1
26.8, 52.8, 89.1
26.8, 52.8, 89.1
26.8, 52.7, 89.1
26.8, 52.8, 89.1
26.8, 52.8, 89.1
26.8, 52.9, 89.2
26.8, 52.8, 89.2
26.8, 52.8, 89.2
26.8, 52.8, 89.2
26.8, 52.9, 89.2
26.8, 53.0, 89.2
26.8, 52.8, 89.2
26.8, 52.9, 89.2
26.8, 53.0, 89.2
26.9, 53.1, 89.2
26.9, 53.0, 89.2
26.7, 53.0, 89.3
26.9, 52.5, 89.2
27.0, 52.3, 89.2
27.0, 52.1, 89.2
27.0, 52.2, 89.1
27.0, 52.2, 89.1
27.0, 52.1, 89.1
27.0, 52.2, 89.1
27.0, 52.2, 89.1
27.0, 51.9, 89.1
27.0, 51.7, 89.1
27.0, 51.7, 89.1
27.0, 51.7, 89.1
27.0, 51.9, 89.1
27.1, 51.9, 89.1
27.1, 51.9, 89.0
27.1, 51.6, 89.0
27.1, 51.6, 89.0
27.1, 51.5, 89.0
27.1, 51.5, 89.0
27.1, 51.4, 89.0
27.1, 51.5, 89.0
27.1, 51.6, 89.0
27.1, 51.6, 89.0
27.1, 51.5, 89.0
27.1, 51.6, 88.9
27.1, 51.7, 88.9
27.1, 51.5, 88.9
27.1, 51.4, 88.9
27.1, 51.3, 88.9
27.1, 51.5, 88.9
27.1, 51.3, 88.9
27.1, 51.3, 88.9
27.1, 51.4, 88.9
27.1, 51.6, 88.9
27.1, 51.8, 88.9
27.1, 51.9, 88.9
27.0, 51.9, 88.9
27.1, 52.0, 88.9
27.1, 52.1, 89.0
27.1, 52.3, 89.0
27.0, 52.4, 89.0
27.1, 52.3, 89.0
27.1, 52.4, 89.0
27.1, 52.2, 89.0
27.1, 52.0, 88.9
27.1, 51.8, 88.9
27.1, 51.8, 88.9
27.1, 51.7, 88.9
27.1, 51.7, 88.9
27.1, 51.6, 88.9
27.1, 51.7, 88.9
